0 0 0 1/8 1/4 5/8 3/8 7/8 13/16 7/8 0
0 0 0 1/7 2/7 3/7 3/7 6/7 5/7 6/7 0
0 0 0 1/7 2/7 2/7 3/7 6/7 11/14 6/7 0
0 0 0 1/7 2/7 5/7 1/2 6/7 5/7 5/7 0
0 0 0 1/7 2/7 4/7 1/2 6/7 9/14 5/7 0
0 0 0 1/7 2/7 3/7 1/2 6/7 5/7 5/7 0
0 0 0 2/5 1/2 2/5 1/5 9/10 19/20 6/5 0
0 0 0 3/8 1/2 1/4 1/4 1 7/8 9/8 0
0 0 0 2/7 3/7 1/7 2/7 1 13/14 1 0
0 0 0 2/5 1/10 7/10 3/10 1 17/20 4/5 0
0 0 0 3/8 1/8 1/2 3/8 1 3/4 3/4 0
0 0 0 3/8 1/8 3/8 3/8 1 13/16 3/4 0
0 0 0 2/7 1/7 6/7 1/2 1 5/7 4/7 0
0 0 0 2/7 1/7 5/7 1/2 1 9/14 4/7 0
0 0 0 2/7 1/7 4/7 1/2 1 5/7 4/7 0
0 0 0 6/11 4/11 5/11 1/11 1 21/22 12/11 0
0 0 0 1/2 3/8 1/4 1/8 9/8 7/8 1 0
0 0 0 3/7 2/7 1/7 1/7 8/7 13/14 6/7 0
0 0 0 2/3 1/9 8/9 2/9 11/9 5/6 5/9 0
0 0 0 4/7 1/7 4/7 2/7 8/7 5/7 4/7 0
0 0 0 5/8 1/8 3/8 1/4 5/4 13/16 1/2 0
0 0 0 5/9 1/9 10/9 7/18 4/3 7/9 1/3 0
0 0 0 1/2 1/8 7/8 7/16 5/4 11/16 3/8 0
0 0 0 5/9 1/9 2/3 7/18 4/3 7/9 1/3 0
0 0 0 3/4 3/8 7/12 1/12 7/6 23/24 11/12 0
0 0 0 2/3 7/18 1/3 1/9 11/9 8/9 8/9 0
0 0 0 2/3 5/18 2/9 1/9 4/3 17/18 2/3 0
